0,0.18,-0.11,0.00
1,0.14,0.16,0.00
2,-0.13,0.17,0.00
3,-0.19,-0.09,0.00
4,0.06,-0.21,0.00
5,0.21,0.01,0.00
6,0.03,0.21,0.00
7,-0.20,0.07,0.00
8,-0.11,-0.18,0.00
9,0.16,-0.14,0.00
10,0.17,0.13,0.00
11,-0.09,0.19,0.00
12,-0.21,-0.06,0.00
13,0.01,-0.21,0.00
14,0.21,-0.03,0.00
15,0.07,0.20,0.00
16,-0.18,0.11,0.00
17,-0.14,-0.16,0.00
18,0.13,-0.17,0.00
19,0.19,0.09,0.00
20,-0.06,0.21,0.00
21,-0.21,-0.01,0.00
22,-0.03,-0.21,0.00
23,0.20,-0.07,0.00
24,0.11,0.18,0.00
25,-0.16,0.14,0.00
26,-0.17,-0.13,0.00
27,0.09,-0.19,0.00
28,0.21,0.06,0.00
29,-0.01,0.21,0.00
30,-0.21,0.03,0.00
31,-0.07,-0.20,0.00
32,0.18,-0.11,0.00
33,0.14,0.16,0.00
34,-0.13,0.17,0.00
35,-0.19,-0.09,0.00
36,0.06,-0.21,0.00
37,0.21,0.01,0.00
38,0.03,0.21,0.00
39,-0.20,0.07,0.00
40,-0.11,-0.18,0.00
41,0.16,-0.14,0.00
42,0.17,0.13,0.00
43,-0.09,0.19,0.00
44,-0.21,-0.06,0.00
45,0.01,-0.21,0.00
46,0.21,-0.03,0.00
47,0.07,0.20,0.00
48,-0.18,0.11,0.00
49,-0.14,-0.16,0.00
50,0.13,-0.17,0.00
51,0.19,0.09,0.00
52,-0.06,0.21,0.00
53,-0.21,-0.01,0.00
54,-0.03,-0.21,0.00
55,0.20,-0.07,0.00
56,0.11,0.18,0.00
57,-0.16,0.14,0.00
58,-0.17,-0.13,0.00
59,0.09,-0.19,0.00
60,0.21,0.06,0.00
61,-0.01,0.21,0.00
62,-0.21,0.03,0.00
63,-0.07,-0.20,0.00